,time,asv_1,asv_2
285,111.75775790214539,"(63.330396756771435, 10.080210069187082)","(63.33035493085239, 10.079478115603804)"
286,112.00111293792725,"(63.3304013404338, 10.080212074539366)","(63.33035063366892, 10.079479547998291)"
287,112.75610399246216,"(63.33040563761726, 10.080213793412751)","(63.330346336485455, 10.079480980392779)"
288,113.00052905082703,"(63.33040993480073, 10.080215512286136)","(63.3303417528231, 10.079482412787268)"
289,113.75546789169312,"(63.33041451846309, 10.080217231159523)","(63.33033716916074, 10.079483845181755)"
290,114.00020503997803,"(63.33041910212544, 10.080218950032908)","(63.33033258549838, 10.079485277576243)"
291,114.75603699684143,"(63.330423399308906, 10.080220668906293)","(63.33032800183602, 10.07948670997073)"
292,115.00001692771912,"(63.33042769649237, 10.080222387779678)","(63.33032370465256, 10.079488142365218)"
293,115.7555239200592,"(63.33043199367583, 10.080223820174165)","(63.3303194074691, 10.079489574759707)"
294,115.99996399879456,"(63.330436290859296, 10.080225252568654)","(63.33031482380673, 10.079491007154195)"
295,116.7560088634491,"(63.330440874521656, 10.08022697144204)","(63.33031024014437, 10.079492439548682)"
296,117.00000405311584,"(63.33044545818402, 10.080228690315424)","(63.330305942960905, 10.07949387194317)"
297,117.75563502311707,"(63.33044975536748, 10.08023040918881)","(63.33030164577744, 10.079495304337657)"
298,117.99993205070496,"(63.33045405255095, 10.080232128062194)","(63.33029706211508, 10.079496736732144)"
299,118.75595998764038,"(63.33045863621331, 10.080233846935581)","(63.330292478452726, 10.079498169126632)"
300,118.9998688697815,"(63.33046321987567, 10.080235565808966)","(63.33028818126927, 10.079499601521121)"
301,119.75553703308105,"(63.330467517059134, 10.080236998203453)","(63.3302838840858, 10.079501033915609)"
302,119.99993109703064,"(63.33047181424259, 10.080238430597941)","(63.330279300423435, 10.079502466310096)"
303,120.75628805160522,"(63.33047639790496, 10.080240149471326)","(63.33027471676107, 10.079503898704584)"
304,121.00034999847412,"(63.33048098156732, 10.080241868344713)","(63.3302704195776, 10.079505331099071)"
305,121.75537300109863,"(63.330485278750785, 10.0802435872181)","(63.33026612239414, 10.07950676349356)"
306,122.00052499771118,"(63.33048957593425, 10.080245306091484)","(63.33026153873179, 10.079508195888048)"
307,122.755450963974,"(63.330493586638816, 10.080246452007074)","(63.33025695506943, 10.079509628282535)"
308,123.00001287460327,"(63.33049759734338, 10.080247597922662)","(63.330252657885964, 10.079511060677023)"
309,123.75547099113464,"(63.33050189452685, 10.080248743838254)","(63.3302483607025, 10.07951249307151)"
310,123.99995589256287,"(63.330506191710306, 10.080249889753844)","(63.33024377704014, 10.079513925466)"
311,124.7555730342865,"(63.330510488893765, 10.080250749190537)","(63.33023919337777, 10.079515357860487)"
312,124.99992489814758,"(63.33051478607723, 10.080251608627231)","(63.33023460971541, 10.079516790254974)"
313,125.75536489486694,"(63.3305190832607, 10.080251895106128)","(63.33023002605305, 10.079518222649462)"
314,125.99993991851807,"(63.330523380444156, 10.080252181585026)","(63.33022572886959, 10.07951965504395)"
315,126.75612902641296,"(63.330527964106516, 10.080251895106128)","(63.33022143168613, 10.079521087438438)"
316,126.99992799758911,"(63.330532547768875, 10.080251608627231)","(63.33021684802377, 10.079522519832926)"
317,127.75644207000732,"(63.330536844952334, 10.080251322148333)","(63.3302122643614, 10.079523952227413)"
318,128.00138902664185,"(63.3305411421358, 10.080251035669436)","(63.33020796717794, 10.079525384621903)"
319,128.7561740875244,"(63.33054572579817, 10.080250176232742)","(63.330203669994475, 10.07952681701639)"
320,129.0006890296936,"(63.330550309460534, 10.08024931679605)","(63.330199086332115, 10.079528249410878)"
321,129.75544905662537,"(63.330554893122894, 10.080248457359357)","(63.330194502669755, 10.079529681805365)"
322,130.00005888938904,"(63.33055947678525, 10.080247597922662)","(63.33019020548629, 10.079531114199852)"
323,130.75552797317505,"(63.330563773968706, 10.080246452007074)","(63.33018590830283, 10.079532546594342)"
324,130.9999759197235,"(63.33056807115217, 10.080245306091484)","(63.33018132464046, 10.07953397898883)"
325,131.75634598731995,"(63.33057265481454, 10.080244446654792)","(63.3301767409781, 10.079535411383317)"
326,132.00031399726868,"(63.330577238476906, 10.080243587218098)","(63.33017244379464, 10.079536843777806)"
327,132.75583791732788,"(63.33058153566037, 10.080242441302508)","(63.33016814661117, 10.079538276172293)"
328,132.9999520778656,"(63.33058583284383, 10.080241295386918)","(63.33016356294881, 10.07953970856678)"
329,133.75598287582397,"(63.33059041650619, 10.080240149471328)","(63.33015897928646, 10.079541140961268)"
330,133.99996495246887,"(63.33059500016855, 10.080239003555738)","(63.330154682103, 10.079542573355756)"
331,134.7557339668274,"(63.33059958383092, 10.08023757116125)","(63.330150384919534, 10.079544005750243)"
332,135.0004529953003,"(63.33060416749328, 10.080236138766763)","(63.33014580125717, 10.07954543814473)"
333,135.75554203987122,"(63.33060846467674, 10.080234992851171)","(63.3301412175948, 10.07954687053922)"
334,136.00093293190002,"(63.3306127618602, 10.080233846935581)","(63.330136920411334, 10.079548302933706)"
335,136.75614500045776,"(63.33061734552256, 10.080232701019991)","(63.330132623227875, 10.079549735328193)"
336,137.0,"(63.33062192918492, 10.0802315551044)","(63.330128039565516, 10.07955116772268)"
337,137.75564408302307,"(63.33062622636838, 10.08023040918881)","(63.330123455903156, 10.07955260011717)"
338,138.00000309944153,"(63.33063052355185, 10.08022926327322)","(63.3301191587197, 10.079554032511657)"
339,138.756000995636,"(63.330635107214206, 10.08022811735763)","(63.33011486153623, 10.079555464906145)"
340,139.00016903877258,"(63.33063969087657, 10.08022697144204)","(63.33011027787387, 10.079556897300634)"
341,139.7556278705597,"(63.33064427453893, 10.080225539047552)","(63.330105694211504, 10.079558329695121)"
342,140.00153493881226,"(63.33064885820129, 10.080224106653064)","(63.330101110549144, 10.079559762089609)"
343,140.75551104545593,"(63.33065315538475, 10.080222960737473)","(63.330096526886784, 10.079561194484096)"
344,141.00097608566284,"(63.33065745256822, 10.080221814821883)","(63.330092229703325, 10.079562626878584)"
345,141.75581002235413,"(63.33066203623058, 10.080220668906293)","(63.33008793251986, 10.079564059273073)"
346,142.00139689445496,"(63.33066661989294, 10.080219522990703)","(63.3300833488575, 10.07956549166756)"
347,142.7554759979248,"(63.330670917076404, 10.080218377075113)","(63.33007876519514, 10.079566924062048)"
348,143.0000879764557,"(63.33067521425986, 10.080217231159521)","(63.330074468011674, 10.079568356456537)"
349,143.75595808029175,"(63.33067979792223, 10.080215798765034)","(63.33007017082821, 10.079569788851025)"
350,144.0000500679016,"(63.33068438158459, 10.080214366370546)","(63.33006558716585, 10.079571221245512)"
351,144.75545692443848,"(63.33068896524695, 10.080213220454956)","(63.33006100350349, 10.07957265364)"
352,145.00005793571472,"(63.33069354890931, 10.080212074539366)","(63.33005670632002, 10.079574086034487)"
353,145.7563669681549,"(63.330697846092775, 10.080210928623776)","(63.33005240913656, 10.079575518428976)"
354,146.00053095817566,"(63.330702143276234, 10.080209782708186)","(63.3300478254742, 10.079576950823464)"
355,146.75592708587646,"(63.3307067269386, 10.080208636792594)","(63.33004324181184, 10.079578383217951)"
356,147.00069093704224,"(63.33071131060097, 10.080207490877005)","(63.33003894462837, 10.079579815612439)"
357,147.75554609298706,"(63.33071560778443, 10.080206058482517)","(63.330034647444904, 10.079581248006926)"
358,148.00135707855225,"(63.33071990496789, 10.08020462608803)","(63.330030063782544, 10.079582680401415)"
359,148.7559459209442,"(63.33072448863025, 10.08020348017244)","(63.33002548012019, 10.079584112795903)"
360,149.00090289115906,"(63.330729072292606, 10.080202334256848)","(63.330021182936726, 10.07958554519039)"
361,149.7555010318756,"(63.330733369476064, 10.080201188341258)","(63.33001688575326, 10.079586977584878)"
362,150.00003790855408,"(63.33073766665953, 10.080200042425668)","(63.33001230209091, 10.079588409979365)"
363,150.75655007362366,"(63.3307422503219, 10.080198896510078)","(63.33000771842855, 10.079589842373855)"
364,150.99995708465576,"(63.330746833984264, 10.080197750594488)","(63.33000342124508, 10.079591274768342)"
365,151.75572204589844,"(63.330751417646624, 10.080196318199999)","(63.32999912406162, 10.07959270716283)"
366,151.9999430179596,"(63.33075600130898, 10.080194885805511)","(63.329994540399255, 10.079594139557319)"
367,152.75566506385803,"(63.33076029849244, 10.080193739889921)","(63.32998995673689, 10.079595571951806)"
368,153.00006008148193,"(63.33076459567591, 10.080192593974331)","(63.32998565955343, 10.079597004346294)"
369,153.75625801086426,"(63.330769179338276, 10.080191448058741)","(63.32998136236996, 10.079598436740781)"
370,154.00117897987366,"(63.330773763000636, 10.08019030214315)","(63.329976778707604, 10.079599869135269)"
371,154.755450963974,"(63.3307780601841, 10.080189156227561)","(63.329972195045244, 10.079601301529758)"
372,155.0001289844513,"(63.33078235736756, 10.080188010311971)","(63.32996789786178, 10.079602733924244)"
373,155.755793094635,"(63.33078694102992, 10.080186577917484)","(63.32996360067832, 10.079604166318731)"
374,156.00043201446533,"(63.33079152469228, 10.080185145522995)","(63.32995901701595, 10.079605598713218)"
375,156.7554910182953,"(63.33079582187574, 10.080183999607405)","(63.32995443335359, 10.079607031107708)"
376,157.00035786628723,"(63.330800119059205, 10.080182853691815)","(63.329950136170126, 10.079608463502195)"
377,157.75557398796082,"(63.330804702721565, 10.080181707776223)","(63.32994583898667, 10.079609895896683)"
378,158.00013303756714,"(63.33080928638393, 10.080180561860633)","(63.32994125532431, 10.079611328291172)"
379,158.75602793693542,"(63.33081387004629, 10.080179415945043)","(63.32993667166195, 10.07961276068566)"
380,159.00002098083496,"(63.33081845370865, 10.080178270029453)","(63.32993237447849, 10.079614193080147)"
381,159.75564789772034,"(63.33082275089211, 10.080177124113863)","(63.32992807729502, 10.079615625474634)"
382,160.00073099136353,"(63.33082704807558, 10.080175978198273)","(63.32992349363266, 10.079617057869122)"
383,160.75543999671936,"(63.33083163173794, 10.080174545803786)","(63.329918909970296, 10.07961849026361)"
384,161.00007891654968,"(63.330836215400296, 10.080173113409296)","(63.32991461278683, 10.0796196361792)"
385,161.756089925766,"(63.33084051258376, 10.080171967493706)","(63.329910315603364, 10.079620782094791)"
386,162.00040197372437,"(63.330844809767235, 10.080170821578117)","(63.32990573194101, 10.079622214489278)"
387,162.7563910484314,"(63.33084939342959, 10.080169675662525)","(63.32990114827865, 10.079623646883766)"
388,163.0001139640808,"(63.33085397709195, 10.080168529746935)","(63.329896851095185, 10.079625079278255)"
389,163.75635290145874,"(63.330858274275414, 10.080167383831345)","(63.329892553911726, 10.079626511672743)"
390,164.00041890144348,"(63.33086257145887, 10.080166237915757)","(63.32988797024936, 10.07962794406723)"
391,164.75547409057617,"(63.33086715512123, 10.080164805521267)","(63.32988338658699, 10.079629376461718)"
392,165.0000250339508,"(63.33087173878359, 10.08016337312678)","(63.32987908940353, 10.079630808856205)"
393,165.75551009178162,"(63.33087632244596, 10.08016222721119)","(63.32987479222007, 10.079632241250694)"
394,166.00041890144348,"(63.33088090610833, 10.0801610812956)","(63.32987020855771, 10.079633673645182)"
395,166.7553858757019,"(63.330885203291786, 10.08015993538001)","(63.329865624895355, 10.07963510603967)"
396,167.00167608261108,"(63.33088950047525, 10.080158789464418)","(63.32986132771189, 10.079636538434158)"
397,167.7568919658661,"(63.33089408413761, 10.080157643548828)","(63.32985703052842, 10.079637970828646)"
398,167.9999339580536,"(63.330898667799964, 10.080156497633238)","(63.329852446866056, 10.079639403223133)"
399,168.75596404075623,"(63.33090296498342, 10.080155065238749)","(63.329847863203696, 10.07964083561762)"
400,169.0005669593811,"(63.33090726216689, 10.080153632844262)","(63.32984356602023, 10.079642268012108)"
401,169.75693798065186,"(63.330911845829256, 10.080152486928672)","(63.32983926883677, 10.079643700406598)"
402,170.00026297569275,"(63.33091642949162, 10.080151341013083)","(63.32983468517441, 10.079645132801085)"
403,170.7557668685913,"(63.33092072667509, 10.080150195097492)","(63.32983010151205, 10.079646565195572)"
404,170.99993801116943,"(63.33092502385855, 10.080149049181902)","(63.32982580432859, 10.07964799759006)"
405,171.7562129497528,"(63.33092960752091, 10.080147903266312)","(63.32982150714513, 10.079649429984547)"
406,172.0000388622284,"(63.33093419118327, 10.08014675735072)","(63.32981692348277, 10.079650862379035)"
407,172.75569009780884,"(63.330938488366726, 10.080145324956232)","(63.3298123398204, 10.079652294773522)"
408,173.00050497055054,"(63.33094278555019, 10.080143892561745)","(63.32980804263694, 10.07965372716801)"
409,173.75635695457458,"(63.33094736921255, 10.080142746646153)","(63.329803745453475, 10.079655159562497)"
410,174.0002999305725,"(63.33095195287492, 10.080141600730563)","(63.329799161791115, 10.079656591956986)"
411,174.75548195838928,"(63.33095653653728, 10.080140454814973)","(63.329794578128755, 10.079658024351474)"
412,174.99991989135742,"(63.33096112019964, 10.080139308899385)","(63.32979028094529, 10.079659456745961)"
413,175.75613498687744,"(63.3309654173831, 10.080138162983793)","(63.32978598376183, 10.079660889140449)"
414,176.00039196014404,"(63.330969714566564, 10.080137017068203)","(63.32978140009946, 10.079662321534936)"
415,176.75533199310303,"(63.330974298228924, 10.080135584673716)","(63.329776816437096, 10.079663753929426)"
416,176.9999339580536,"(63.33097888189129, 10.080134152279228)","(63.32977251925364, 10.079665186323913)"
417,177.7557499408722,"(63.33098317907475, 10.080133006363639)","(63.32976822207017, 10.0796666187184)"
418,177.99992489814758,"(63.330987476258215, 10.080131860448047)","(63.32976363840781, 10.07966805111289)"
419,178.75622606277466,"(63.330992059920575, 10.080130714532457)","(63.32975905474546, 10.079669483507377)"
420,179.0008249282837,"(63.330996643582935, 10.080129568616867)","(63.32975475756199, 10.079670915901865)"
421,179.75561809539795,"(63.3310009407664, 10.080128422701277)","(63.32975046037853, 10.079672348296352)"
422,180.00060606002808,"(63.33100523794986, 10.080127276785687)","(63.32974587671616, 10.07967378069084)"
423,180.7553858757019,"(63.33100982161223, 10.0801258443912)","(63.3297412930538, 10.079675213085329)"
424,181.00124502182007,"(63.331014405274594, 10.080124411996712)","(63.329736995870334, 10.079676645479816)"
425,181.75560092926025,"(63.33101870245805, 10.08012326608112)","(63.329732698686875, 10.079678077874304)"
426,182.00048899650574,"(63.33102299964152, 10.08012212016553)","(63.329728115024515, 10.079679510268793)"
427,182.75544095039368,"(63.33102758330388, 10.08012097424994)","(63.329723531362156, 10.07968094266328)"
428,183.00030303001404,"(63.33103216696623, 10.08011982833435)","(63.3297192341787, 10.079682375057768)"
429,183.7561550140381,"(63.33103675062859, 10.08011868241876)","(63.32971493699523, 10.079683807452255)"
430,184.00058102607727,"(63.33104133429095, 10.080117536503169)","(63.32971035333287, 10.079685239846743)"
431,184.75596404075623,"(63.331045631474424, 10.080116390587579)","(63.329705769670504, 10.07968667224123)"
432,185.00020098686218,"(63.33104992865789, 10.080115244671989)","(63.329701472487045, 10.079688104635718)"
433,185.75534009933472,"(63.33105451232025, 10.080113812277501)","(63.32969717530358, 10.079689537030207)"
434,186.0001289844513,"(63.33105909598261, 10.080112379883014)","(63.32969259164122, 10.079690969424695)"
435,186.7575659751892,"(63.331063393166076, 10.080111233967422)","(63.32968800797886, 10.079692401819182)"
436,187.0020649433136,"(63.331067690349535, 10.080110088051832)","(63.3296834243165, 10.079693834213671)"
437,187.7556459903717,"(63.33107227401189, 10.080108942136242)","(63.32967884065414, 10.079695266608159)"
438,188.0006148815155,"(63.33107685767425, 10.080107796220652)","(63.329674543470674, 10.079696699002646)"
439,188.75627994537354,"(63.33108115485771, 10.080106650305062)","(63.3296702462872, 10.079698131397134)"
440,189.00000500679016,"(63.33108545204118, 10.08010550438947)","(63.32966566262485, 10.079699563791621)"
441,189.75538897514343,"(63.33109003570354, 10.080104071994983)","(63.32966107896249, 10.07970099618611)"
442,190.00059294700623,"(63.331094619365906, 10.080102639600495)","(63.32965678177902, 10.079702428580596)"
443,190.75545001029968,"(63.331098916549365, 10.080101493684905)","(63.32965248459556, 10.079703860975084)"
444,190.9999439716339,"(63.33110321373283, 10.080100347769315)","(63.3296479009332, 10.079705293369571)"
445,191.7565839290619,"(63.33110779739519, 10.080099201853725)","(63.32964331727084, 10.07970672576406)"
446,192.00014305114746,"(63.33111238105755, 10.080098055938135)","(63.32963902008737, 10.079708158158548)"
447,192.75541400909424,"(63.33111696471991, 10.080096910022544)","(63.329634722903904, 10.079709590553035)"
448,193.00027298927307,"(63.33112154838228, 10.080095764106954)","(63.329630139241544, 10.079711022947524)"
449,193.7554349899292,"(63.33112584556574, 10.080094331712466)","(63.329625555579184, 10.079712455342012)"
450,194.00012302398682,"(63.3311301427492, 10.080092899317979)","(63.32962125839572, 10.0797138877365)"
