timestamp (seconds since 01/01/1970), system, entity , value (rad), off (°)
1709815650.434487, caravela-2, 7, -0.01542659, 0.000000
1709815651.483658, caravela-2, 7, -0.01542439, 0.000000
1709815652.483738, caravela-2, 7, -0.01542484, 0.000000
1709815653.483997, caravela-2, 7, -0.01542417, 0.000000
1709815654.533416, caravela-2, 7, -0.01542524, 0.000000
1709815655.534090, caravela-2, 7, -0.01542577, 0.000000
1709815656.583519, caravela-2, 7, -0.01542592, 0.000000
1709815657.583975, caravela-2, 7, -0.01542532, 0.000000
1709815658.633803, caravela-2, 7, -0.01542372, 0.000000
1709815659.634459, caravela-2, 7, -0.01542542, 0.000000
1709815660.683970, caravela-2, 7, -0.01542386, 0.000000
1709815661.684503, caravela-2, 7, -0.01542439, 0.000000
1709815662.734151, caravela-2, 7, -0.01542509, 0.000000
1709815663.734413, caravela-2, 7, -0.01542414, 0.000000
1709815664.783574, caravela-2, 7, -0.01542337, 0.000000
1709815665.784075, caravela-2, 7, -0.01542387, 0.000000
1709815666.833699, caravela-2, 7, -0.0154229, 0.000000
1709815667.833880, caravela-2, 7, -0.01542303, 0.000000
1709815668.883590, caravela-2, 7, -0.01542358, 0.000000
1709815669.883722, caravela-2, 7, -0.01542195, 0.000000
1709815670.884016, caravela-2, 7, -0.01542133, 0.000000
1709815671.884181, caravela-2, 7, -0.01542031, 0.000000
1709815672.934920, caravela-2, 7, -0.01542237, 0.000000
1709815673.935867, caravela-2, 7, -0.01542366, 0.000000
1709815674.983553, caravela-2, 7, -0.01542512, 0.000000
1709815675.983496, caravela-2, 7, -0.01542412, 0.000000
1709815676.983556, caravela-2, 7, -0.01542508, 0.000000
1709815677.984069, caravela-2, 7, -0.01542611, 0.000000
1709815679.033825, caravela-2, 7, -0.01542637, 0.000000
1709815680.034450, caravela-2, 7, -0.01542598, 0.000000
1709815681.083370, caravela-2, 7, -0.0154276, 0.000000
1709815682.083754, caravela-2, 7, -0.0154247, 0.000000
1709815683.133500, caravela-2, 7, -0.01542595, 0.000000
1709815684.133848, caravela-2, 7, -0.0154234, 0.000000
1709815685.183977, caravela-2, 7, -0.01542341, 0.000000
1709815686.184145, caravela-2, 7, -0.01542591, 0.000000
1709815687.234352, caravela-2, 7, -0.01542589, 0.000000
1709815688.283449, caravela-2, 7, -0.01542548, 0.000000
1709815689.283473, caravela-2, 7, -0.01542731, 0.000000
1709815690.283659, caravela-2, 7, -0.01542529, 0.000000
1709815691.284075, caravela-2, 7, -0.015426, 0.000000
1709815692.334506, caravela-2, 7, -0.01542526, 0.000000
1709815693.334818, caravela-2, 7, -0.01542584, 0.000000
1709815694.383495, caravela-2, 7, -0.01542577, 0.000000
1709815695.383620, caravela-2, 7, -0.01542841, 0.000000
1709815696.383807, caravela-2, 7, -0.01542591, 0.000000
1709815697.433427, caravela-2, 7, -0.01542963, 0.000000
1709815698.434145, caravela-2, 7, -0.01542938, 0.000000
1709815699.434303, caravela-2, 7, -0.01542773, 0.000000
1709815700.483494, caravela-2, 7, -0.0154302, 0.000000
1709815701.484436, caravela-2, 7, -0.01543002, 0.000000
1709815702.534226, caravela-2, 7, -0.01543142, 0.000000
1709815703.583954, caravela-2, 7, -0.01543084, 0.000000
1709815704.633723, caravela-2, 7, -0.01543125, 0.000000
1709815705.640267, caravela-2, 7, -0.0154309, 0.000000
1709815706.684282, caravela-2, 7, -0.01543174, 0.000000
1709815707.684467, caravela-2, 7, -0.01542992, 0.000000
1709815708.733601, caravela-2, 7, -0.0154319, 0.000000
1709815709.770733, caravela-2, 7, -0.01542915, 0.000000
1709815710.784975, caravela-2, 7, -0.01542809, 0.000000
1709815711.833553, caravela-2, 7, -0.01543188, 0.000000
1709815712.834266, caravela-2, 7, -0.0154272, 0.000000
1709815713.834532, caravela-2, 7, -0.01542586, 0.000000
1709815714.834814, caravela-2, 7, -0.01542867, 0.000000
1709815715.884325, caravela-2, 7, -0.01542969, 0.000000
1709815716.933645, caravela-2, 7, -0.0154296, 0.000000
1709815717.934464, caravela-2, 7, -0.01543247, 0.000000
1709815718.983579, caravela-2, 7, -0.01543285, 0.000000
1709815719.983622, caravela-2, 7, -0.01543608, 0.000000
1709815720.983654, caravela-2, 7, -0.01543582, 0.000000
1709815721.986119, caravela-2, 7, -0.01543588, 0.000000
1709815723.034241, caravela-2, 7, -0.01543608, 0.000000
1709815724.084118, caravela-2, 7, -0.01543926, 0.000000
1709815725.133534, caravela-2, 7, -0.01543834, 0.000000
1709815726.133589, caravela-2, 7, -0.01543751, 0.000000
1709815727.133755, caravela-2, 7, -0.01543805, 0.000000
1709815728.136270, caravela-2, 7, -0.01543895, 0.000000
1709815729.139969, caravela-2, 7, -0.01544126, 0.000000
1709815730.186370, caravela-2, 7, -0.01544291, 0.000000
1709815731.233555, caravela-2, 7, -0.01544181, 0.000000
1709815732.284313, caravela-2, 7, -0.01544009, 0.000000
1709815733.333874, caravela-2, 7, -0.01544154, 0.000000
1709815734.383750, caravela-2, 7, -0.01544058, 0.000000
1709815735.433628, caravela-2, 7, -0.0154413, 0.000000
1709815736.434374, caravela-2, 7, -0.0154433, 0.000000
1709815737.483656, caravela-2, 7, -0.0154462, 0.000000
1709815738.533877, caravela-2, 7, -0.01544462, 0.000000
1709815739.535372, caravela-2, 7, -0.01544462, 0.000000
1709815740.587933, caravela-2, 7, -0.01544575, 0.000000
1709815741.633521, caravela-2, 7, -0.01544575, 0.000000
1709815742.633551, caravela-2, 7, -0.01544575, 0.000000
1709815743.633730, caravela-2, 7, -0.01544575, 0.000000
1709815744.683728, caravela-2, 7, -0.01544575, 0.000000
1709815745.694316, caravela-2, 7, -0.01544575, 0.000000
1709815746.733761, caravela-2, 7, -0.01544575, 0.000000
1709815747.733700, caravela-2, 7, -0.01544575, 0.000000
1709815748.783591, caravela-2, 7, -0.01544575, 0.000000
1709815749.783983, caravela-2, 7, -0.01544575, 0.000000
1709815750.837684, caravela-2, 7, -0.01544905, 0.000000
1709815751.834105, caravela-2, 7, -0.01544905, 0.000000
1709815752.834323, caravela-2, 7, -0.01544905, 0.000000
1709815753.834296, caravela-2, 7, -0.01544905, 0.000000
1709815754.883532, caravela-2, 7, -0.01544905, 0.000000
1709815755.883699, caravela-2, 7, -0.01544905, 0.000000
1709815756.884457, caravela-2, 7, -0.01544905, 0.000000
1709815757.933906, caravela-2, 7, -0.01544905, 0.000000
1709815758.983974, caravela-2, 7, -0.01544905, 0.000000
1709815759.984031, caravela-2, 7, -0.01544905, 0.000000
1709815761.034337, caravela-2, 7, -0.01544913, 0.000000
1709815762.083772, caravela-2, 7, -0.01544786, 0.000000
1709815763.133885, caravela-2, 7, -0.01544802, 0.000000
1709815764.135061, caravela-2, 7, -0.01544691, 0.000000
1709815765.183291, caravela-2, 7, -0.01544887, 0.000000
1709815766.183927, caravela-2, 7, -0.01544282, 0.000000
1709815767.234683, caravela-2, 7, -0.01544218, 0.000000
1709815768.284422, caravela-2, 7, -0.01544099, 0.000000
