,time,asv_1,asv_2,asv_3
312,88.8312680721283,"(63.330126702664, 10.080720288103647)","(63.330204815910065, 10.079302790518494)","(63.330480217623595, 10.080609707249186)"
313,88.99963402748108,"(63.33012975843891, 10.080719715145852)","(63.330205006895994, 10.079309475026102)","(63.330482891426634, 10.08060684246021)"
314,89.32581210136414,"(63.33013262322788, 10.080718760216193)","(63.33020519788193, 10.079316159533713)","(63.33048556522968, 10.080603977671235)"
315,89.8316240310669,"(63.33013548801686, 10.080717805286536)","(63.33020538886786, 10.079322844041322)","(63.33048804804679, 10.08060111288226)"
316,89.99967002868652,"(63.33013835280583, 10.080716850356877)","(63.33020557985379, 10.079329528548932)","(63.330490530863905, 10.080598248093285)"
317,90.45186114311218,"(63.33014140858074, 10.080715895427218)","(63.330205770839726, 10.079336213056543)","(63.330493013681014, 10.08059538330431)"
318,90.83133912086487,"(63.33014446435564, 10.08071494049756)","(63.330205961825655, 10.079342897564153)","(63.33049587846999, 10.080592327529402)"
319,90.99990701675415,"(63.330147520130545, 10.0807139855679)","(63.330205961825655, 10.079349582071764)","(63.33049874325897, 10.080589271754494)"
320,91.32523012161255,"(63.330150575905456, 10.080712648666378)","(63.330205961825655, 10.079356266579373)","(63.330501608047946, 10.080586215979586)"
321,91.83124208450317,"(63.33015363168037, 10.080711311764857)","(63.330205961825655, 10.079362951086983)","(63.330504281850985, 10.080583351190612)"
322,91.99975395202637,"(63.33015668745528, 10.080709974863334)","(63.33020615281159, 10.079369635594592)","(63.33050695565403, 10.080580486401635)"
323,92.32524394989014,"(63.330159552244254, 10.080708828947744)","(63.33020634379752, 10.079376320102202)","(63.33050962945707, 10.08057762161266)"
324,92.83161497116089,"(63.33016241703323, 10.080707683032154)","(63.33020653478346, 10.079383004609811)","(63.330512303260114, 10.080574565837752)"
325,92.99943804740906,"(63.330165281822204, 10.080706537116564)","(63.330206725769386, 10.079389689117422)","(63.33051497706316, 10.080571510062846)"
326,93.32523608207703,"(63.33016833759711, 10.080705200215041)","(63.330206916755316, 10.07939637362503)","(63.330517650866206, 10.080568454287938)"
327,93.83162903785706,"(63.33017139337202, 10.08070386331352)","(63.330207107741245, 10.079403058132641)","(63.33052032466925, 10.080565589498962)"
328,93.9997889995575,"(63.330174449146924, 10.080702526411997)","(63.330207107741245, 10.079409742640252)","(63.33052299847229, 10.080562724709987)"
329,94.32523202896118,"(63.3301773139359, 10.080701189510476)","(63.330207107741245, 10.07941642714786)","(63.330525672275336, 10.08055985992101)"
330,94.83112692832947,"(63.33018017872487, 10.080699852608953)","(63.330207107741245, 10.079423111655471)","(63.33052834607838, 10.080556995132035)"
331,94.99965500831604,"(63.33018304351385, 10.080698515707432)","(63.330207298727174, 10.079429796163081)","(63.33053101988143, 10.080554130343058)"
332,95.32529592514038,"(63.33018609928876, 10.08069717880591)","(63.33020748971311, 10.07943648067069)","(63.33053369368447, 10.080551265554083)"
333,95.8318510055542,"(63.330189155063664, 10.080695841904388)","(63.33020768069904, 10.0794431651783)","(63.33053636748752, 10.080548209779176)"
334,95.99955296516418,"(63.330192210838575, 10.080694505002866)","(63.33020787168497, 10.079449849685911)","(63.330539041290564, 10.08054515400427)"
335,96.32585096359253,"(63.33019507562755, 10.080693168101345)","(63.3302080626709, 10.07945653419352)","(63.33054171509361, 10.080542098229362)"
336,96.83171796798706,"(63.330197940416525, 10.080691831199822)","(63.33020825365683, 10.07946321870113)","(63.330544388896655, 10.080539233440385)"
337,96.99943995475769,"(63.3302008052055, 10.0806904942983)","(63.33020825365683, 10.07946990320874)","(63.330547062699694, 10.08053636865141)"
338,97.32537698745728,"(63.330203860980404, 10.080689157396778)","(63.33020825365683, 10.07947658771635)","(63.33054973650274, 10.080533503862434)"
339,97.83126711845398,"(63.330206916755316, 10.080687820495257)","(63.33020825365683, 10.079483272223959)","(63.33055241030578, 10.080530448087526)"
340,98.00396013259888,"(63.33020997253022, 10.080686483593734)","(63.330208444642764, 10.07948995673157)","(63.33055508410882, 10.08052739231262)"
341,98.32582592964172,"(63.330212837319195, 10.08068495570628)","(63.3302086356287, 10.079496641239178)","(63.33055775791186, 10.080524336537712)"
342,98.83125114440918,"(63.33021570210817, 10.080683427818826)","(63.33020882661464, 10.079503325746789)","(63.33056043171491, 10.080521280762804)"
343,99.0003490447998,"(63.330218566897145, 10.080681899931372)","(63.330209017600566, 10.079510010254399)","(63.33056310551795, 10.080518224987898)"
344,99.3255980014801,"(63.330221622672056, 10.080680563029851)","(63.330209208586496, 10.079516694762008)","(63.330565779321, 10.08051516921299)"
345,99.83127903938293,"(63.33022467844696, 10.080679226128328)","(63.330209399572425, 10.079523379269618)","(63.330568453124044, 10.080512304424014)"
346,100.00013208389282,"(63.33022773422187, 10.080677889226807)","(63.330209590558354, 10.079530063777229)","(63.33057112692708, 10.080509439635039)"
347,100.3252329826355,"(63.33023059901085, 10.080676552325286)","(63.33020978154429, 10.079536748284838)","(63.33057380073013, 10.080506574846062)"
348,100.83126592636108,"(63.33023346379983, 10.080675215423764)","(63.33020997253022, 10.079543432792448)","(63.330576474533174, 10.080503519071154)"
349,101.00036311149597,"(63.3302363285888, 10.080673878522243)","(63.330210163516156, 10.079550117300059)","(63.33057914833622, 10.080500463296248)"
350,101.32531404495239,"(63.33023938436371, 10.080672350634789)","(63.330210354502086, 10.079556801807668)","(63.330581822139266, 10.08049740752134)"
351,101.83124995231628,"(63.33024244013861, 10.080670822747335)","(63.33021054548802, 10.079563486315278)","(63.33058449594231, 10.080494351746433)"
352,102.00037002563477,"(63.330245495913516, 10.08066929485988)","(63.33021054548802, 10.079570170822889)","(63.33058716974535, 10.080491295971527)"
353,102.32565093040466,"(63.33024836070249, 10.080667957958358)","(63.33021054548802, 10.079576855330497)","(63.330589843548395, 10.080488240196619)"
354,102.83135294914246,"(63.330251225491466, 10.080666621056837)","(63.33021054548802, 10.079583539838108)","(63.33059251735144, 10.080485184421711)"
355,102.99959301948547,"(63.33025409028044, 10.080665284155314)","(63.33021073647395, 10.079590224345717)","(63.33059519115449, 10.080482128646805)"
356,103.32584500312805,"(63.33025714605535, 10.08066375626786)","(63.33021092745989, 10.079596908853327)","(63.33059786495753, 10.080479072871897)"
357,103.83135914802551,"(63.330260201830264, 10.080662228380406)","(63.33021111844582, 10.079603593360936)","(63.33060053876057, 10.08047601709699)"
358,104.00619792938232,"(63.330263257605175, 10.080660700492952)","(63.330211309431746, 10.079610277868547)","(63.33060321256362, 10.080472961322082)"
359,104.32586693763733,"(63.33026612239415, 10.080659363591431)","(63.330211500417676, 10.079616962376155)","(63.330605886366655, 10.080469905547174)"
360,104.83126711845398,"(63.330268987183125, 10.080658026689909)","(63.330211691403605, 10.079623646883766)","(63.3306085601697, 10.080467040758199)"
361,105.00006198883057,"(63.3302718519721, 10.080656689788388)","(63.330211882389534, 10.079630140405444)","(63.33061123397274, 10.080464175969222)"
362,105.32505798339844,"(63.330274907747004, 10.080655352886867)","(63.33021207337547, 10.079636633927123)","(63.330613907775785, 10.080461311180247)"
363,105.83128309249878,"(63.33027796352191, 10.080654015985344)","(63.3302122643614, 10.0796431274488)","(63.33061658157883, 10.08045825540534)"
364,105.99959802627563,"(63.33028101929681, 10.080652679083823)","(63.330212455347336, 10.079649811956411)","(63.330619255381876, 10.080455199630434)"
365,106.32558393478394,"(63.33028388408579, 10.0806513421823)","(63.330212646333266, 10.07965649646402)","(63.33062192918492, 10.080452143855526)"
366,106.83140301704407,"(63.33028674887477, 10.080650005280779)","(63.3302128373192, 10.07966318097163)","(63.33062460298797, 10.080449088080618)"
367,106.99956512451172,"(63.330289613663744, 10.080648668379256)","(63.33021302830513, 10.079669865479241)","(63.330627276791006, 10.08044603230571)"
368,107.32527804374695,"(63.330292669438656, 10.080647140491802)","(63.33021321929107, 10.07967654998685)","(63.33062995059405, 10.080442976530803)"
369,107.83129000663757,"(63.33029572521356, 10.080645612604348)","(63.330213410277, 10.07968323449446)","(63.3306326243971, 10.080439920755895)"
370,107.99955892562866,"(63.33029878098847, 10.080644084716894)","(63.330213601262926, 10.07968991900207)","(63.33063529820014, 10.080436864980989)"
371,108.32523798942566,"(63.330301645777446, 10.080642747815372)","(63.330213792248855, 10.07969660350968)","(63.33063797200319, 10.080433809206081)"
372,108.84198594093323,"(63.33030451056642, 10.08064141091385)","(63.330213983234785, 10.079703288017289)","(63.3306404548203, 10.080430753431173)"
373,108.99956107139587,"(63.330307375355396, 10.080640074012328)","(63.330213983234785, 10.079709972524899)","(63.33064293763741, 10.080427697656267)"
374,109.32764196395874,"(63.33031024014437, 10.080638737110807)","(63.330213983234785, 10.07971665703251)","(63.330645420454516, 10.08042464188136)"
375,109.83159303665161,"(63.330313104933346, 10.080637400209284)","(63.330213983234785, 10.07972334154012)","(63.33064809425756, 10.080421586106452)"
376,110.00021409988403,"(63.33031596972232, 10.080636063307763)","(63.330214174220714, 10.07973002604773)","(63.33065076806061, 10.080418530331546)"
377,110.32749605178833,"(63.330319025497225, 10.080634535420309)","(63.33021436520665, 10.07973671055534)","(63.33065344186365, 10.080415474556638)"
378,110.83147406578064,"(63.330322081272136, 10.080633007532857)","(63.33021455619258, 10.07974339506295)","(63.3306561156667, 10.080412227795799)"
379,110.99991297721863,"(63.33032513704704, 10.080631479645403)","(63.330214747178516, 10.079750079570559)","(63.33065878946974, 10.080408981034958)"
380,111.32525396347046,"(63.330328001836016, 10.08063014274388)","(63.330214938164445, 10.07975676407817)","(63.33066146327278, 10.08040573427412)"
381,111.83128905296326,"(63.33033086662499, 10.080628805842359)","(63.33021512915038, 10.079763448585778)","(63.33066413707583, 10.080402678499212)"
382,112.00020694732666,"(63.330333731413965, 10.080627468940836)","(63.33021532013631, 10.079770133093389)","(63.330666810878874, 10.080399622724306)"
