,time,asv_1,asv_2,asv_3,asv_4,asv_5,asv_6
158,3.8712029457092285,"(63.32831214532682, 10.082980702098403)","(63.32925800315361, 10.082738245458097)","(63.3286710078925, 10.08530681525367)","(63.33059270833737, 10.088043070697282)","(63.33304238939046, 10.082784655039504)","(63.33261524935418, 10.080086023824437)"
159,4.0000081062316895,"(63.32831348222834, 10.082982325478824)","(63.32925867160437, 10.082738245458097)","(63.328672440286994, 10.085305764831045)","(63.33059270833737, 10.088039728443476)","(63.333040956995966, 10.082783509123914)","(63.33261410343859, 10.080088029176721)"
160,4.002409934997559,"(63.32831481912986, 10.082983853366278)","(63.32925934005513, 10.082738245458097)","(63.32867387268148, 10.085304714408421)","(63.33059270833737, 10.088036386189671)","(63.333039524601475, 10.082782363208324)","(63.332612957523, 10.080090034529004)"
161,4.270888090133667,"(63.328316156031384, 10.082985381253732)","(63.32926000850589, 10.082738245458097)","(63.32867530507596, 10.085303663985798)","(63.330592612844406, 10.088032948442901)","(63.33303809220699, 10.082781217292732)","(63.33261181160741, 10.080092039881286)"
162,4.400141000747681,"(63.328317492932904, 10.082986909141184)","(63.329260772449615, 10.082738245458097)","(63.32867673747045, 10.085302613563172)","(63.33059251735144, 10.08802951069613)","(63.33303665981251, 10.082780071377142)","(63.33261066569182, 10.080094045233569)"
163,4.646445035934448,"(63.32831882983442, 10.082988437028638)","(63.329261536393346, 10.082738245458097)","(63.32867816986494, 10.085301563140547)","(63.33059242185847, 10.08802607294936)","(63.333035227418016, 10.082778925461552)","(63.33260942428326, 10.080095955092887)"
164,4.871189117431641,"(63.32832016673595, 10.082989964916091)","(63.32926230033708, 10.082738245458097)","(63.32867960225943, 10.085300512717923)","(63.330592326365505, 10.08802263520259)","(63.33303389051649, 10.082777588560031)","(63.33260818287471, 10.080097864952203)"
165,5.000020980834961,"(63.32832150363747, 10.082991492803545)","(63.3292630642808, 10.082738245458097)","(63.32868113014688, 10.085299557788264)","(63.33059223087254, 10.088019197455818)","(63.33303255361497, 10.082776251658508)","(63.33260694146615, 10.080099774811519)"
166,5.0024189949035645,"(63.32832284053899, 10.082993116183966)","(63.329263828224526, 10.082738245458097)","(63.32868265803434, 10.085298602858606)","(63.330592135379575, 10.088015759709048)","(63.33303121671345, 10.082774914756985)","(63.3326057000576, 10.080101684670836)"
167,5.271083116531372,"(63.328324177440514, 10.082994739564384)","(63.32926459216826, 10.082738245458097)","(63.32868418592179, 10.085297647928947)","(63.330592135379575, 10.088012417455243)","(63.333029879811924, 10.082773577855464)","(63.332604458649044, 10.080103594530154)"
168,5.400362014770508,"(63.32832551434204, 10.082996362944805)","(63.32926535611198, 10.082738245458097)","(63.32868571380924, 10.08529669299929)","(63.330592135379575, 10.088009075201438)","(63.3330285429104, 10.082772240953943)","(63.33260321724049, 10.08010550438947)"
