,time, system, entity , mmsi, msg_in, msg_out,iter_time
19,1710842968.616957, caravela-2,7,112,8,4,4.199976921081543
20,1710842971.66705, caravela-2,7,112,6,3,3.050092935562134
21,1710842976.817157, caravela-2,7,112,10,5,5.150107145309448
22,1710842979.96659, caravela-2,7,112,6,3,3.149432897567749
23,1710842983.066673, caravela-2,7,112,6,3,3.100083112716675
24,1710842986.116675, caravela-2,7,112,6,3,3.050001859664917
25,1710842990.21677, caravela-2,7,112,8,5,4.10009503364563
26,1710842993.266947, caravela-2,7,112,6,3,3.0501770973205566
27,1710842996.369298, caravela-2,7,112,6,3,3.102350950241089
28,1710843000.466878, caravela-2,7,112,8,4,4.0975799560546875
29,1710843003.61651, caravela-2,7,112,7,3,3.149631977081299
30,1710843008.766816, caravela-2,7,112,10,5,5.150305986404419
31,1710843012.916985, caravela-2,7,112,8,4,4.150169134140015
32,1710843016.016614, caravela-2,7,112,6,3,3.0996289253234863
33,1710843019.116688, caravela-2,7,112,6,3,3.100074052810669
34,1710843028.36667, caravela-2,7,112,18,9,9.249981880187988
35,1710843036.566702, caravela-2,7,112,15,8,8.200031995773315
36,1710843040.716934, caravela-2,7,112,8,4,4.1502320766448975
37,1710843045.816655, caravela-2,7,112,10,5,5.0997209548950195
38,1710843048.966611, caravela-2,7,112,6,3,3.149955987930298
39,1710843053.068088, caravela-2,7,112,8,4,4.101477146148682
40,1710843058.217262, caravela-2,7,112,10,5,5.149173974990845
41,1710843069.616549, caravela-2,7,112,23,11,11.399286985397339
42,1710843074.816674, caravela-2,7,112,10,5,5.200124979019165
43,1710843082.019465, caravela-2,7,112,14,7,7.202790975570679
44,1710843085.166534, caravela-2,7,112,6,3,3.147068977355957
45,1710843089.266825, caravela-2,7,112,8,4,4.100291013717651
46,1710843092.316934, caravela-2,7,112,6,3,3.0501091480255127
47,1710843097.46669, caravela-2,7,112,10,7,5.149755954742432
48,1710843100.566865, caravela-2,7,112,6,3,3.100174903869629
49,1710843103.666595, caravela-2,7,112,6,3,3.0997300148010254
50,1710843111.966664, caravela-2,7,112,16,11,8.300069093704224
51,1710843121.116572, caravela-2,7,112,18,9,9.14990782737732
52,1710843125.216852, caravela-2,7,112,8,4,4.100280046463013
53,1710843133.416572, caravela-2,7,112,16,13,8.19972014427185
54,1710843164.316732, caravela-2,7,112,60,30,30.90015983581543
55,1710843192.116555, caravela-2,7,112,39,20,27.79982304573059
56,1710843203.516539, caravela-2,7,112,6,4,11.399984121322632
57,1710843238.516583, caravela-2,7,112,9,9,35.000043869018555
58,1710843242.61665, caravela-2,7,112,4,4,4.100067138671875
59,1710843245.716507, caravela-2,7,112,3,3,3.0998568534851074
60,1710843248.817019, caravela-2,7,112,3,3,3.1005120277404785
61,1710843251.916761, caravela-2,7,112,3,3,3.0997419357299805
