,time, system, entity , mmsi, msg_in, msg_out,iter_time
1,1709501119.60066, caravela-3,7,113,12,5,4.10009098052979
2,1709501122.65841, caravela-3,7,113,9,3,3.05774998664856
3,1709501125.75119, caravela-3,7,113,10,3,3.092777967453
4,1709501129.4507, caravela-3,7,113,9,3,3.69950890541077
5,1709501135.7007, caravela-3,7,113,18,6,6.24999713897705
6,1709501138.75079, caravela-3,7,113,10,3,3.05009794235229
7,1709501146.00407, caravela-3,7,113,21,11,7.25327205657959
8,1709501149.15063, caravela-3,7,113,9,3,3.14656805992126
9,1709501153.30061, caravela-3,7,113,12,4,4.14997696876526
10,1709501158.45069, caravela-3,7,113,15,5,5.15007781982422
11,1709501162.60081, caravela-3,7,113,12,5,4.1501190662384
12,1709501167.70083, caravela-3,7,113,17,5,5.10002303123474
13,1709501171.85087, caravela-3,7,113,12,4,4.15003895759583
14,1709501175.95083, caravela-3,7,113,12,5,4.09996294975281
15,1709501180.00079, caravela-3,7,113,12,4,4.04995918273926
16,1709501184.10202, caravela-3,7,113,12,4,4.10122799873352
17,1709501189.20096, caravela-3,7,113,15,6,5.09893989562988
