,time,asv_1,asv_2
74,33.0012321472168,"(63.32976678967569, 10.080078288894203)","(63.330574373687924, 10.079860278453156)"
75,33.97636413574219,"(63.329771086859154, 10.08007972128869)","(63.33057637904021, 10.079860278453156)"
76,34.00001096725464,"(63.329775670521514, 10.080081153683178)","(63.33057838439249, 10.079860278453156)"
77,34.976783990859985,"(63.32978025418387, 10.080082586077667)","(63.33058067622367, 10.079860564932053)"
78,34.99993896484375,"(63.32978483784623, 10.080084018472155)","(63.33058296805485, 10.07986085141095)"
79,35.976258993148804,"(63.32978942150859, 10.080085450866642)","(63.330585259886035, 10.07986085141095)"
80,36.00023698806763,"(63.32979371869206, 10.080086883261131)","(63.330587551717215, 10.07986085141095)"
81,36.97960901260376,"(63.32979801587552, 10.080088315655619)","(63.3305895570695, 10.07986085141095)"
82,36.99996900558472,"(63.329802599537885, 10.080089748050106)","(63.33059156242179, 10.07986085141095)"
83,37.976557970047,"(63.329807183200245, 10.080091180444594)","(63.33059385425297, 10.07986085141095)"
84,37.99994707107544,"(63.32981148038371, 10.080092612839081)","(63.33059614608414, 10.07986085141095)"
85,38.97619915008545,"(63.32981577756717, 10.080094045233569)","(63.33059843791532, 10.07986085141095)"
86,38.99995994567871,"(63.32982036122953, 10.080095191149159)","(63.3306007297465, 10.07986085141095)"
87,39.97620606422424,"(63.32982494489189, 10.080096337064749)","(63.33060302157768, 10.07986085141095)"
88,39.99993705749512,"(63.32982924207535, 10.080097769459236)","(63.33060531340886, 10.07986085141095)"
89,40.97641110420227,"(63.329833539258814, 10.080099201853725)","(63.33060731876114, 10.07986085141095)"
90,40.99997806549072,"(63.32983812292118, 10.080100634248213)","(63.330609324113425, 10.07986085141095)"
91,41.97665810585022,"(63.32984270658355, 10.0801020666427)","(63.330611615944605, 10.07986085141095)"
92,41.99997401237488,"(63.32984729024591, 10.080103499037188)","(63.330613907775785, 10.07986085141095)"
93,42.976232051849365,"(63.32985187390826, 10.080104931431675)","(63.330616199606965, 10.079861137889848)"
94,43.000648021698,"(63.32985617109172, 10.080106363826165)","(63.330618491438145, 10.079861424368746)"
95,43.97623109817505,"(63.329860468275186, 10.080107796220652)","(63.33062078326933, 10.079861424368746)"
96,43.99998211860657,"(63.32986505193755, 10.080108942136242)","(63.33062307510052, 10.079861424368746)"
97,44.97621297836304,"(63.32986963559992, 10.080110088051832)","(63.330625080452805, 10.079861424368746)"
98,45.00059700012207,"(63.329873932783386, 10.08011152044632)","(63.330627085805084, 10.079861424368746)"
99,45.97656011581421,"(63.329878229966845, 10.080112952840809)","(63.330629377636264, 10.079861424368746)"
100,45.999958992004395,"(63.329882813629204, 10.080114385235296)","(63.330631669467444, 10.079861424368746)"
101,46.97630000114441,"(63.329887397291564, 10.080115817629784)","(63.33063396129862, 10.079861424368746)"
102,47.00005793571472,"(63.32989169447502, 10.080116963545375)","(63.3306362531298, 10.079861424368746)"
103,47.97619295120239,"(63.32989599165849, 10.080118109460965)","(63.330638544960976, 10.079861424368746)"
104,47.99996995925903,"(63.32990057532085, 10.080119541855453)","(63.330640836792156, 10.079861424368746)"
105,48.97624611854553,"(63.329905158983216, 10.08012097424994)","(63.33064284214444, 10.079861424368746)"
106,49.000000953674316,"(63.329909742645576, 10.080122406644428)","(63.33064484749673, 10.079861424368746)"
107,49.97620105743408,"(63.329914326307936, 10.080123839038915)","(63.33064713932791, 10.079861424368746)"
108,50.000216007232666,"(63.329918623491395, 10.080124984954505)","(63.33064943115909, 10.079861424368746)"
109,50.97626614570618,"(63.32992292067486, 10.080126130870095)","(63.33065172299027, 10.079861710847643)"
110,51.000077962875366,"(63.32992750433722, 10.080127563264583)","(63.33065401482144, 10.07986199732654)"
111,51.97625708580017,"(63.32993208799959, 10.080128995659072)","(63.33065630665263, 10.07986199732654)"
112,51.999943017959595,"(63.329936385183046, 10.080130141574662)","(63.330658598483815, 10.07986199732654)"
113,52.97620606422424,"(63.32994068236651, 10.080131287490252)","(63.330660890314995, 10.07986199732654)"
114,52.99998211860657,"(63.32994526602887, 10.080132719884741)","(63.330663182146175, 10.07986199732654)"
115,53.976402044296265,"(63.32994984969123, 10.080134152279228)","(63.330665187498454, 10.07986199732654)"
116,53.99997091293335,"(63.3299541468747, 10.080135298194818)","(63.33066719285074, 10.07986199732654)"
117,54.976181983947754,"(63.32995844405816, 10.080136444110408)","(63.33066948468192, 10.07986199732654)"
118,55.00071406364441,"(63.32996302772052, 10.080137876504896)","(63.3306717765131, 10.07986199732654)"
119,55.97660994529724,"(63.32996761138288, 10.080139308899385)","(63.33067406834428, 10.07986199732654)"
120,55.99994397163391,"(63.329972195045244, 10.080140454814973)","(63.33067636017546, 10.07986199732654)"
121,56.9762020111084,"(63.329976778707604, 10.080141600730563)","(63.33067865200664, 10.07986199732654)"
122,56.999999046325684,"(63.32998107589107, 10.08014303312505)","(63.33068094383782, 10.07986199732654)"
123,57.97651791572571,"(63.32998537307453, 10.08014446551954)","(63.330683235669, 10.07986199732654)"
124,57.99996900558472,"(63.32998995673689, 10.08014561143513)","(63.33068552750017, 10.07986199732654)"
125,58.976200103759766,"(63.32999454039925, 10.08014675735072)","(63.33068753285246, 10.079862283805438)"
126,58.99993109703064,"(63.32999883758271, 10.080147903266312)","(63.330689538204744, 10.079862570284336)"
127,59.97619009017944,"(63.33000313476617, 10.080149049181902)","(63.33069183003593, 10.079862570284336)"
128,60.00012993812561,"(63.33000771842854, 10.08015048157639)","(63.33069412186711, 10.079862570284336)"
129,60.976568937301636,"(63.33001230209091, 10.080151913970877)","(63.33069641369829, 10.079862570284336)"
130,61.00006914138794,"(63.33001659927437, 10.080153059886467)","(63.33069870552947, 10.079862570284336)"
131,61.976197957992554,"(63.33002089645783, 10.080154205802058)","(63.33070099736065, 10.079862570284336)"
132,62.00001096725464,"(63.330025480120185, 10.080155638196546)","(63.33070328919183, 10.079862570284336)"
133,62.97627401351929,"(63.330030063782544, 10.080157070591033)","(63.33070529454412, 10.079862570284336)"
134,62.999967098236084,"(63.33003464744491, 10.080158216506623)","(63.330707299896396, 10.079862570284336)"
135,63.97633194923401,"(63.33003923110728, 10.080159362422213)","(63.330709591727576, 10.079862570284336)"
136,63.99995398521423,"(63.330043528290744, 10.080160508337805)","(63.330711883558756, 10.079862570284336)"
137,64.97643995285034,"(63.3300478254742, 10.080161654253395)","(63.330714175389936, 10.079862570284336)"
138,64.99996995925903,"(63.33005240913656, 10.080162800168985)","(63.330716467221116, 10.079862570284336)"
139,65.97638511657715,"(63.33005699279892, 10.080163946084575)","(63.330718759052296, 10.079862570284336)"
140,65.99993205070496,"(63.33006128998238, 10.080165378479062)","(63.330721050883476, 10.079862570284336)"
141,66.97625303268433,"(63.33006558716585, 10.080166810873552)","(63.33072334271466, 10.079862570284336)"
142,66.99994993209839,"(63.33007017082821, 10.08016795678914)","(63.33072563454584, 10.079862570284336)"
143,67.97623014450073,"(63.330074754490575, 10.08016910270473)","(63.33072763989813, 10.079862856763233)"
144,68.00007104873657,"(63.33007905167403, 10.08017024862032)","(63.330729645250415, 10.07986314324213)"
145,68.9766309261322,"(63.3300833488575, 10.080171394535911)","(63.330731937081595, 10.07986314324213)"
146,68.99998807907104,"(63.33008793251986, 10.080172826930399)","(63.33073422891277, 10.07986314324213)"
147,69.97620892524719,"(63.33009251618222, 10.080174259324886)","(63.33073652074395, 10.07986314324213)"
