,time, system, entity , mmsi, msg_in, msg_out,iter_time
36,1709674897.86168, caravela-2,7,112,8,4,4.14792799949646
37,1709674900.96162, caravela-2,7,112,6,3,3.09994316101074
38,1709674903.96253, caravela-2,7,112,6,3,3.0009069442749
39,1709674908.16201, caravela-2,7,112,8,4,4.19948697090149
0,1710855535.42356, caravela,7,111,6,5,
1,1710855540.56617, caravela,7,111,13,5,5.14260983467102
2,1710855547.3659, caravela,7,111,22,8,6.79973697662354
3,1710855550.46583, caravela,7,111,9,3,3.09993100166321
4,1710855554.51574, caravela,7,111,13,5,4.04990911483765
5,1710855559.61621, caravela,7,111,17,5,5.1004638671875
6,1710855562.71632, caravela,7,111,12,3,3.10011315345764
7,1710855566.81726, caravela,7,111,13,4,4.10094285011292
8,1710855574.96608, caravela,7,111,25,11,8.14881420135498
9,1710855581.11617, caravela,7,111,18,9,6.15008902549744
10,1710855587.36619, caravela,7,111,19,9,6.25002098083496
11,1710855591.46591, caravela,7,111,14,5,4.09972286224365
12,1710855596.61608, caravela,7,111,15,7,5.15017199516296
13,1710855603.76653, caravela,7,111,21,9,7.15044903755188
14,1710855611.06631, caravela,7,111,22,8,7.2997829914093
15,1710855615.1667, caravela,7,111,14,4,4.10038709640503
16,1710855618.21852, caravela,7,111,11,3,3.05181884765625
17,1710855626.41609, caravela,7,111,26,13,8.19756698608398
18,1710855630.51643, caravela,7,111,13,4,4.10034418106079
19,1710855633.56799, caravela,7,111,11,3,3.05156302452087
20,1710855637.71635, caravela,7,111,13,4,4.14835786819458
21,1710855640.81608, caravela,7,111,12,3,3.09972906112671
22,1710855643.86588, caravela,7,111,9,3,3.04980206489563
23,1710855646.91611, caravela,7,111,9,3,3.05022287368774
24,1710855652.06595, caravela,7,111,15,7,5.14984107017517
25,1710855657.16632, caravela,7,111,15,5,5.10036897659302
26,1710855666.41595, caravela,7,111,29,13,9.24962902069092
27,1710855674.61587, caravela,7,111,25,13,8.19992184638977
28,1710855682.86594, caravela,7,111,24,12,8.25007200241089
29,1710855686.96737, caravela,7,111,4,4,4.10143399238586
30,1710855690.06671, caravela,7,111,3,3,3.09934115409851
31,1710855696.21609, caravela,7,111,6,6,6.1493718624115
32,1710855700.26638, caravela,7,111,4,4,4.0502941608429
33,1710855703.36708, caravela,7,111,3,3,3.10070395469666
34,1710855707.51692, caravela,7,111,4,4,4.1498339176178
35,1710855712.71587, caravela,7,111,5,5,5.19895315170288
36,1710855715.76634, caravela,7,111,3,3,3.05046391487122
37,1710855718.81583, caravela,7,111,3,3,3.0494909286499
38,1710855723.91612, caravela,7,111,5,5,5.10029006004334
39,1710855728.01598, caravela,7,111,4,4,4.09985899925232
40,1710855731.11572, caravela,7,111,3,3,3.09974598884583
41,1710855737.21584, caravela,7,111,6,6,6.10011601448059
42,1710855740.26613, caravela,7,111,3,3,3.05028891563416
43,1710855743.31566, caravela,7,111,3,3,3.04953098297119
0,1710855533.30738, caravela-2,7,112,7,4,
1,1710855537.30824, caravela-2,7,112,7,3,4.00085592269897
2,1710855541.40735, caravela-2,7,112,8,5,4.09911513328552
3,1710855545.50771, caravela-2,7,112,9,4,4.10035181045532
4,1710855548.55719, caravela-2,7,112,6,3,3.04948210716248
5,1710855552.65741, caravela-2,7,112,9,4,4.10021901130676
6,1710855556.75729, caravela-2,7,112,10,5,4.09987902641296
7,1710855559.90734, caravela-2,7,112,8,3,3.15005683898926
8,1710855565.00809, caravela-2,7,112,12,5,5.10074520111084
9,1710855573.20818, caravela-2,7,112,16,8,8.20008993148804
10,1710855579.40737, caravela-2,7,112,12,6,6.19919586181641
11,1710855585.55741, caravela-2,7,112,14,6,6.15003514289856
12,1710855589.70714, caravela-2,7,112,9,4,4.14973187446594
13,1710855594.85723, caravela-2,7,112,10,5,5.15008497238159
14,1710855597.95727, caravela-2,7,112,6,3,3.1000440120697
15,1710855602.0571, caravela-2,7,112,8,4,4.09982514381409
16,1710855606.15864, caravela-2,7,112,8,4,4.10154986381531
17,1710855609.21149, caravela-2,7,112,8,3,3.05284214019775
18,1710855613.35779, caravela-2,7,112,10,4,4.14630198478699
19,1710855616.40729, caravela-2,7,112,7,3,3.04950094223022
20,1710855627.65847, caravela-2,7,112,26,13,11.2511830329895
21,1710855630.76146, caravela-2,7,112,7,3,3.10298800468445
22,1710855634.85743, caravela-2,7,112,10,4,4.09596395492554
23,1710855638.00715, caravela-2,7,112,8,3,3.14972591400146
24,1710855641.10721, caravela-2,7,112,6,3,3.10005712509155
25,1710855645.20723, caravela-2,7,112,8,4,4.10002088546753
26,1710855650.30734, caravela-2,7,112,10,5,5.10011315345764
27,1710855654.3575, caravela-2,7,112,8,4,4.05015802383423
0,1710857275.0539, caravela,7,111,9,5,
1,1710857280.15391, caravela,7,111,16,7,5.10001611709595
2,1710857289.40414, caravela,7,111,27,12,9.25022602081299
3,1710857293.50373, caravela,7,111,12,5,4.09959006309509
4,1710857296.55396, caravela,7,111,9,3,3.05023288726807
5,1710857299.60407, caravela,7,111,9,3,3.05010294914246
6,1710857303.70372, caravela,7,111,12,4,4.09965205192566
7,1710857306.75406, caravela,7,111,7,3,3.05034494400024
8,1710857313.90401, caravela,7,111,16,8,7.1499490737915
9,1710857324.25383, caravela,7,111,33,12,10.3498179912567
10,1710857329.30413, caravela,7,111,15,7,5.05030107498169
11,1710857332.40393, caravela,7,111,9,3,3.09979701042175
12,1710857338.60401, caravela,7,111,18,8,6.20008492469788
13,1710857345.80413, caravela,7,111,21,11,7.20012092590332
14,1710857352.9545, caravela,7,111,21,7,7.15036296844482
15,1710857357.0538, caravela,7,111,12,4,4.09930419921875
16,1710857360.15383, caravela,7,111,9,3,3.10002779960632
17,1710857365.2539, caravela,7,111,15,7,5.10007119178772
19,1710857500.55522, caravela,7,111,3,3,3.10137987136841
20,1710857504.65391, caravela,7,111,4,4,4.09869003295898
21,1710857507.75516, caravela,7,111,3,3,3.10125398635864
0,1710857272.78939, caravela-2,7,112,8,6,
1,1710857279.03921, caravela-2,7,112,12,6,6.24981808662415
2,1710857283.13911, caravela-2,7,112,8,4,4.09989809989929
3,1710857292.28915, caravela-2,7,112,18,9,9.15003895759583
4,1710857295.43902, caravela-2,7,112,6,3,3.14986801147461
5,1710857298.53898, caravela-2,7,112,6,3,3.09995985031128
6,1710857301.58951, caravela-2,7,112,6,3,3.05053019523621
7,1710857304.73912, caravela-2,7,112,6,3,3.14961695671082
8,1710857308.88919, caravela-2,7,112,8,5,4.15006303787231
9,1710857312.03894, caravela-2,7,112,7,3,3.14975190162659
10,1710857316.08926, caravela-2,7,112,7,4,4.05031895637512
11,1710857319.1889, caravela-2,7,112,6,3,3.09964609146118
12,1710857324.28911, caravela-2,7,112,10,5,5.10020589828491
13,1710857328.33938, caravela-2,7,112,8,4,4.05026912689209
14,1710857331.48918, caravela-2,7,112,6,3,3.14979696273804
15,1710857337.64534, caravela-2,7,112,12,6,6.15616202354431
16,1710857344.83907, caravela-2,7,112,14,7,7.19372987747192
17,1710857347.88916, caravela-2,7,112,6,3,3.05009508132935
18,1710857351.93916, caravela-2,7,112,8,4,4.0500009059906
19,1710857356.03922, caravela-2,7,112,8,4,4.10005116462708
20,1710857359.13894, caravela-2,7,112,6,3,3.09972882270813
21,1710857364.20042, caravela-2,7,112,10,5,5.06147718429565
0,1710857626.94889, caravela,7,111,6,3,
1,1710857632.14874, caravela,7,111,16,5,5.19984602928162
2,1710857635.19852, caravela,7,111,10,3,3.04978179931641
3,1710857639.29856, caravela,7,111,9,4,4.10003900527954
4,1710857643.39847, caravela,7,111,12,4,4.09990501403809
5,1710857647.44879, caravela,7,111,14,5,4.05032706260681
6,1710857651.5486, caravela,7,111,12,5,4.09980702400208
7,1710857660.54858, caravela,7,111,27,9,8.99997997283936
8,1710857664.64868, caravela,7,111,12,4,4.10010409355164
9,1710857669.7988, caravela,7,111,15,7,5.15011191368103
10,1710857672.89899, caravela,7,111,9,3,3.10019707679749
11,1710857680.00274, caravela,7,111,18,10,7.1037449836731
12,1710857683.0991, caravela,7,111,9,3,3.09635996818542
13,1710857689.19896, caravela,7,111,18,6,6.09985995292664
14,1710857692.29853, caravela,7,111,9,3,3.09957504272461
15,1710857695.34853, caravela,7,111,9,3,3.04999399185181
16,1710857701.49879, caravela,7,111,18,6,6.15026211738586
17,1710857706.74859, caravela,7,111,15,7,5.2498049736023
18,1710857716.04864, caravela,7,111,30,12,9.3000500202179
19,1710857719.15627, caravela,7,111,6,3,3.10762190818787
20,1710857722.29903, caravela,7,111,12,3,3.14276003837585
21,1710857728.49886, caravela,7,111,18,7,6.19983005523682
22,1710857733.64842, caravela,7,111,15,7,5.14956188201904
23,1710857740.89841, caravela,7,111,21,7,7.24999499320984
24,1710857744.94841, caravela,7,111,12,4,4.04999589920044
25,1710857748.0986, caravela,7,111,9,3,3.1501932144165
26,1710857752.25004, caravela,7,111,12,4,4.15144181251526
27,1710857755.34845, caravela,7,111,9,3,3.09840416908264
28,1710857763.59869, caravela,7,111,24,11,8.25023794174194
29,1710857767.70933, caravela,7,111,10,5,4.11064887046814
30,1710857771.79869, caravela,7,111,8,4,4.08935213088989
31,1710857775.99839, caravela,7,111,13,5,4.19970703125
32,1710857781.10019, caravela,7,111,15,7,5.10179591178894
33,1710857784.1486, caravela,7,111,9,3,3.04840612411499
34,1710857787.25087, caravela,7,111,9,3,3.10227799415588
35,1710857791.39858, caravela,7,111,12,5,4.14770793914795
36,1710857794.45089, caravela,7,111,9,3,3.05231308937073
37,1710857798.59857, caravela,7,111,12,5,4.14767694473267
38,1710857804.8001, caravela,7,111,14,8,6.20153093338013
39,1710857809.89891, caravela,7,111,13,3,5.09880805015564
41,1710857929.09887, caravela,7,111,4,4,4.14975714683533
42,1710857932.25063, caravela,7,111,3,3,3.15175795555115
43,1710857936.34863, caravela,7,111,4,4,4.09800505638123
44,1710857939.44888, caravela,7,111,3,3,3.10024905204773
45,1710857945.59867, caravela,7,111,6,6,6.1497848033905
46,1710857948.69856, caravela,7,111,3,3,3.09989714622498
47,1710857952.84908, caravela,7,111,4,4,4.15051293373108
48,1710857955.94854, caravela,7,111,3,3,3.09946298599243
0,1710857620.85314, caravela-2,7,112,5,3,
1,1710857624.9037, caravela-2,7,112,10,5,4.05056691169739
2,1710857628.05336, caravela-2,7,112,6,3,3.14965295791626
3,1710857632.05332, caravela-2,7,112,7,3,3.99996018409729
4,1710857636.15511, caravela-2,7,112,8,5,4.10179090499878
5,1710857641.35333, caravela-2,7,112,11,5,5.19822001457214
6,1710857645.45337, caravela-2,7,112,8,4,4.10003900527954
7,1710857648.55399, caravela-2,7,112,6,3,3.10062885284424
8,1710857651.65411, caravela-2,7,112,6,3,3.10011005401611
9,1710857654.7539, caravela-2,7,112,6,3,3.09979915618896
10,1710857657.80429, caravela-2,7,112,6,3,3.05038690567017
11,1710857664.05466, caravela-2,7,112,12,6,6.25036597251892
12,1710857667.15391, caravela-2,7,112,6,3,3.09925103187561
13,1710857673.40414, caravela-2,7,112,13,6,6.25023007392883
14,1710857676.45346, caravela-2,7,112,6,3,3.04932188987732
15,1710857681.60348, caravela-2,7,112,10,7,5.15002012252808
16,1710857685.65799, caravela-2,7,112,8,4,4.05450987815857
17,1710857688.80335, caravela-2,7,112,6,3,3.14535903930664
18,1710857693.85488, caravela-2,7,112,10,6,5.05153393745422
19,1710857700.10426, caravela-2,7,112,12,6,6.24937796592712
20,1710857705.20832, caravela-2,7,112,9,7,5.10405611991882
21,1710857711.45342, caravela-2,7,112,13,7,6.24510407447815
22,1710857716.65367, caravela-2,7,112,9,5,5.20024800300598
23,1710857719.75327, caravela-2,7,112,7,3,3.09960389137268
24,1710857722.80427, caravela-2,7,112,5,3,3.05100107192993
25,1710857726.95364, caravela-2,7,112,8,4,4.14936900138855
26,1710857730.00341, caravela-2,7,112,6,3,3.04976892471313
27,1710857735.10573, caravela-2,7,112,10,5,5.10231804847717
28,1710857738.20444, caravela-2,7,112,6,3,3.09871101379395
29,1710857741.30325, caravela-2,7,112,6,3,3.09880399703979
30,1710857745.35531, caravela-2,7,112,8,4,4.05206394195557
31,1710857748.4534, caravela-2,7,112,6,3,3.09808993339539
32,1710857751.50387, caravela-2,7,112,6,3,3.05047416687012
33,1710857757.70349, caravela-2,7,112,12,6,6.19961285591126
34,1710857761.75423, caravela-2,7,112,8,4,4.05074095726013
35,1710857764.90353, caravela-2,7,112,6,3,3.14930510520935
36,1710857770.00344, caravela-2,7,112,10,5,5.09990406036377
37,1710857775.10349, caravela-2,7,112,10,5,5.10005879402161
38,1710857778.15425, caravela-2,7,112,6,3,3.05075812339783
39,1710857781.25348, caravela-2,7,112,6,3,3.0992259979248
40,1710857785.40328, caravela-2,7,112,8,4,4.14980602264404
41,1710857788.45371, caravela-2,7,112,6,3,3.05042886734009
42,1710857792.55475, caravela-2,7,112,8,4,4.10103321075439
43,1710857798.70347, caravela-2,7,112,12,6,6.14871883392334
44,1710857802.75426, caravela-2,7,112,7,4,4.05079102516174
